property_size_sqft,market_demand_index,construction_cost_usd,location,use_type,roi_percent,risk_score,tax_saving_percent,demand_forecast,material_cost_estimate,land_score_index,investor_score_out_of_100,recommendation_score
727,0.33,1007091,Toronto,Industrial,5.9,0.09,14.17,0.54,114495.45,4.49,46.33,0.89
2665,0.57,1107557,New York,Mixed-use,6.45,0.31,12.5,0.36,138256.24,2.42,66.05,0.03
2416,0.96,1224241,London,Industrial,4.13,0.11,10.26,0.8,110718.02,0.01,59.01,0.41
1169,0.28,1290578,Toronto,Residential,5.11,0.48,5.95,0.78,105674.23,5.6,74.59,0.03
2495,0.88,1390267,San Francisco,Commercial,7.43,0.05,14.78,0.55,142756.29,5.91,67.25,0.37
3333,0.62,1250808,London,Commercial,10.01,0.32,5.56,0.65,109446.77,9.72,73.77,0.17
4463,0.86,1371627,Sydney,Mixed-use,7.79,0.16,4.63,0.58,106490.71,3.61,86.67,0.25
4614,0.44,1286123,New York,Commercial,6.89,0.39,7.75,0.68,57858.4,3.94,81.53,0.88
3501,0.87,492104,London,Mixed-use,4.92,0.2,2.74,0.45,94012.42,2.02,70.54,0.44
2286,0.82,388449,London,Residential,9.74,0.3,14.72,0.42,99034.31,0.71,76.89,0.27
3609,0.38,613634,Sydney,Commercial,8.08,0.34,9.65,0.72,106496.74,7.73,99.4,0.59
754,0.31,1141339,Toronto,Mixed-use,5.23,0.26,9.24,0.74,101946.52,2.5,82.06,0.14
3137,0.89,270237,San Francisco,Industrial,9.25,0.2,10.53,0.53,144576.25,6.09,65.6,0.26
2009,0.97,936047,Sydney,Mixed-use,8.4,0.41,8.46,0.49,100621.31,6.88,89.17,0.55
4657,0.23,509332,San Francisco,Commercial,4.97,0.36,2.42,0.77,102484.34,4.71,75.87,0.24
1384,0.79,725275,Toronto,Residential,6.75,0.24,9.96,0.49,123891.35,8.76,55.56,0.68
3775,0.93,1345399,London,Commercial,5.77,0.3,11.31,0.61,92457.95,4.44,67.29,0.49
4941,0.89,1219929,San Francisco,Commercial,13.58,0.14,7.42,0.59,159099.8,2.85,47.92,0.77
3406,0.97,301373,New York,Mixed-use,8.33,0.29,11.84,0.38,140053.92,8.96,35.72,0.95
1137,0.81,1486368,New York,Industrial,7.47,0.2,4.95,0.63,90797.83,8.62,55.76,0.12
2441,0.55,629844,Sydney,Commercial,8.18,0.17,4.88,0.61,145341.68,1.64,71.84,0.33
3055,0.45,925474,Toronto,Industrial,10.45,0.25,4.1,0.65,150542.7,0.26,71.88,0.32
1124,0.46,451233,Sydney,Mixed-use,6.79,0.14,6.84,0.62,91447.13,0.9,48.83,0.15
3550,0.78,1304744,Sydney,Industrial,5.53,0.53,13.01,0.92,90870.83,2.87,34.32,0.81
4731,0.8,748590,Sydney,Mixed-use,9.11,0.09,12.76,0.77,104739.67,9.72,92.06,0.76
4715,0.36,1330617,New York,Residential,6.56,0.47,6.98,0.61,84619.87,5.59,71.43,0.48
2968,0.89,113866,New York,Industrial,4.33,0.11,9.66,0.62,100492.79,3.73,93.34,0.54
4447,0.77,1233976,Sydney,Industrial,3.84,0.55,11.37,0.86,109996.89,8.89,92.48,0.06
3301,0.65,1467695,New York,Residential,10.82,0.08,5.14,0.73,132603.81,4.53,81.02,0.56
1571,0.58,515071,Toronto,Industrial,7.33,0.16,4.19,0.42,122030.64,3.15,70.89,0.79
1766,0.63,1472277,Sydney,Residential,5.53,0.59,14.64,0.74,116299.46,9.41,64.04,0.57
3374,0.33,1266064,New York,Commercial,6.41,0.75,10.03,0.79,107920.67,8.5,80.78,0.27
2582,0.36,676804,San Francisco,Mixed-use,9.02,0.31,14.76,0.84,87301.11,8.44,67.6,0.67
1453,0.27,266987,Sydney,Residential,6.27,0.39,6.39,0.54,134792.94,5.12,61.16,0.36
4746,0.32,491274,Sydney,Industrial,3.38,0.37,11.14,0.53,134234.35,7.89,38.53,0.54
4336,0.56,513934,Toronto,Residential,7.81,0.14,4.89,0.46,104578.79,1.79,68.75,0.49
4369,0.62,374746,London,Industrial,10.02,0.27,5.4,0.65,92471.12,5.73,86.45,0.38
1174,0.21,1317715,London,Commercial,9.85,0.32,8.65,0.71,158902.61,9.84,88.89,0.72
3861,0.84,238588,Toronto,Residential,5.6,0.04,6.16,0.52,126168.26,2.91,70.8,0.88
1748,0.44,1334311,Toronto,Commercial,10.17,0.37,4.18,0.58,129924.21,7.94,56.67,0.01
2315,0.93,1390875,Toronto,Mixed-use,7.53,0.11,5.42,0.29,131003.7,4.9,83.54,0.93
4454,0.97,203950,London,Industrial,10.1,0.11,2.46,0.83,89937.91,0.4,69.77,0.51
3091,0.35,409638,Toronto,Industrial,8.43,0.16,11.16,0.37,157481.91,7.63,64.51,0.7
3260,0.57,680517,New York,Commercial,3.2,0.44,8.4,0.66,109912.55,1.69,48.16,0.86
3724,0.2,1233224,Sydney,Mixed-use,11.37,0.2,3.23,0.64,140551.05,6.31,101.56,0.47
3651,0.68,118547,Sydney,Residential,7.13,0.42,4.23,0.61,156460.82,0.86,81.08,0.83
604,0.69,633083,San Francisco,Residential,8.44,0.4,3.33,0.61,122034.4,9.47,82.69,0.18
1476,0.4,266368,San Francisco,Industrial,3.64,0.54,9.96,0.45,90463.04,2.92,57.06,0.16
1591,0.65,625735,Sydney,Commercial,8.26,0.18,3.22,0.55,57663.24,2.26,71.2,0.66
4742,0.38,1384766,New York,Commercial,9.76,0.25,11.81,0.75,119039.6,1.29,68.78,0.87
4964,0.33,286402,London,Residential,11.84,0.15,2.27,0.79,126253.61,9.46,81.73,0.89
1235,0.72,1380995,London,Mixed-use,10.5,0.09,5.24,0.54,105480.62,7.12,90.4,0.64
2293,0.46,834105,New York,Mixed-use,8.39,0.58,13.58,0.37,123392.14,7.42,48.49,0.53
2282,0.67,929710,London,Residential,3.14,0.31,11.34,0.48,130758.62,4.99,53.88,0.33
719,0.55,659365,Toronto,Residential,7.33,0.14,2.95,0.88,144848.19,4.75,79.69,0.98
1430,0.99,192782,Sydney,Commercial,5.52,0.13,12.67,0.49,114285.87,1.1,62.38,0.32
4275,0.32,1119550,Sydney,Mixed-use,7.59,0.24,8.41,0.59,118866.46,5.6,82.22,0.74
1969,0.57,707220,New York,Residential,3.96,0.53,13.01,0.81,115534.99,2.47,64.4,0.53
1340,0.74,1091316,London,Residential,6.47,0.57,9.81,0.52,120839.87,9.77,51.27,0.61
716,0.52,523316,San Francisco,Industrial,5.71,0.64,10.86,0.58,107170.39,7.97,43.61,0.39
3438,0.98,1439501,San Francisco,Residential,5.63,0.5,14.92,0.72,107050.87,4.13,77.26,0.96
1750,0.78,1314915,London,Residential,5.65,0.27,5.02,0.86,108624.43,1.51,77.63,0.57
2531,0.73,555595,San Francisco,Mixed-use,6.66,0.58,10.11,0.5,123906.66,7.85,84.55,0.94
1612,0.81,1227272,New York,Commercial,7.72,0.42,7.98,0.81,98817.15,1.22,74.92,0.01
2264,0.96,130939,New York,Mixed-use,0.75,0.49,2.51,0.56,108725.15,1.89,13.64,0.57
1681,0.93,221521,London,Commercial,1.06,0.5,2.19,0.47,165214.75,2.12,77.55,0.72
1112,0.78,953093,San Francisco,Industrial,6.15,0.16,3.55,0.64,142409.98,5.57,48.14,0.75
3449,0.8,1463674,New York,Residential,6.51,0.5,10.44,0.43,96072.97,7.87,41.98,0.9
1159,0.32,889178,New York,Industrial,7.47,0.72,9.37,0.67,141616.82,3.14,40.18,0.0
4272,0.28,663098,Toronto,Commercial,5.18,0.15,9.19,1.07,135684.8,0.85,38.8,0.0
3943,0.66,722650,Toronto,Mixed-use,7.02,0.16,2.41,0.77,117402.01,4.65,74.18,0.47
4670,0.21,556513,New York,Mixed-use,7.32,0.4,8.1,0.58,102300.68,7.48,59.03,0.03
2070,0.59,1274871,London,Industrial,5.16,0.09,14.02,0.76,99462.15,2.22,47.21,0.97
1180,0.37,545453,Sydney,Commercial,9.53,0.47,7.17,0.46,125596.0,2.2,70.35,0.22
2894,0.48,801037,Sydney,Industrial,7.44,0.19,10.12,0.49,98844.16,9.47,53.41,0.47
3747,0.82,1393379,New York,Industrial,8.37,0.48,12.14,0.59,147430.53,9.54,84.72,0.06
4849,0.95,1215092,New York,Residential,7.17,0.36,12.19,0.61,154520.16,9.9,91.75,0.52
2279,0.26,1203143,New York,Industrial,12.26,0.24,8.75,0.41,118929.89,8.08,66.74,0.38
4106,0.63,206498,London,Residential,8.49,0.53,13.15,0.55,148469.52,1.88,90.66,0.04
3344,0.91,782098,Toronto,Residential,5.78,0.28,7.09,0.58,109711.28,2.12,90.63,0.34
3956,0.27,1101469,New York,Mixed-use,9.05,0.55,13.55,0.83,102141.21,3.4,71.27,0.39
4645,0.86,544894,New York,Residential,2.91,0.29,5.12,0.41,147506.88,3.18,96.0,0.99
1843,0.49,364154,San Francisco,Residential,7.3,0.29,5.64,0.39,159496.67,9.57,60.68,0.21
3718,0.46,875219,London,Mixed-use,7.8,0.19,2.69,0.63,169078.95,7.89,40.67,0.54
2741,0.98,219544,New York,Industrial,7.33,0.26,12.34,0.77,128316.38,7.24,46.68,0.99
3659,0.36,326183,San Francisco,Commercial,6.17,0.28,7.42,0.68,141552.76,1.86,59.98,0.79
3559,0.75,758743,Sydney,Commercial,4.47,0.51,4.98,0.65,127765.43,9.1,78.01,0.99
2865,0.86,1452429,New York,Commercial,5.03,0.15,5.01,0.56,155084.47,8.28,52.68,0.97
3079,0.23,543001,New York,Industrial,7.26,0.13,13.72,0.7,130832.1,1.64,59.86,0.49
2235,0.74,1163094,San Francisco,Residential,4.22,0.15,12.84,0.72,140127.09,8.71,51.26,0.7
2357,0.96,133909,London,Commercial,11.43,0.38,9.2,0.56,91614.54,2.72,60.21,0.11
2670,0.3,804984,New York,Industrial,0.4,0.3,10.01,0.46,114220.93,0.81,90.14,0.44
3449,0.92,1050834,Sydney,Residential,6.19,0.34,8.17,0.46,140340.9,6.57,75.36,0.81
3851,0.68,595693,New York,Mixed-use,7.28,0.62,7.09,0.73,138099.32,6.54,61.35,0.51
4330,0.69,619570,Sydney,Commercial,8.27,0.16,13.9,0.37,142472.58,0.95,88.31,0.7
3089,0.69,319017,Toronto,Residential,4.71,0.36,3.63,0.85,123016.37,3.19,70.38,0.75
2231,0.44,494994,Toronto,Commercial,9.84,0.46,7.44,0.53,103699.45,9.93,72.0,0.25
3416,0.95,1021768,Sydney,Commercial,3.52,0.37,6.48,0.65,118526.34,6.78,87.14,0.88
1615,0.96,532891,London,Commercial,5.58,0.1,8.48,0.71,121175.86,7.3,64.86,0.46
1948,0.7,1156941,New York,Residential,8.55,0.49,7.95,0.5,126043.52,2.13,83.74,0.21
3687,0.83,545982,New York,Industrial,9.6,0.37,8.75,0.53,95803.36,0.79,82.67,0.87
3439,0.69,521416,Toronto,Residential,3.49,0.15,3.82,0.62,113353.34,2.77,67.82,0.42
935,0.59,353146,Sydney,Commercial,13.61,0.56,8.67,0.47,117783.31,2.49,49.06,0.75
1495,0.73,1404667,New York,Residential,4.76,0.1,5.15,0.44,63944.46,2.35,70.19,0.55
4146,0.64,1338870,New York,Mixed-use,3.72,0.07,4.4,0.45,140812.62,1.93,87.06,0.38
1451,0.68,1244795,London,Industrial,8.26,0.29,2.84,0.78,124100.4,5.75,82.3,0.81
2287,0.83,1469330,San Francisco,Residential,6.13,0.24,11.91,0.66,126632.97,3.28,95.65,0.58
2531,0.58,918574,Toronto,Mixed-use,5.76,0.23,7.56,0.48,107112.59,8.2,62.64,0.39
4346,0.23,660595,Toronto,Industrial,8.49,0.43,10.15,0.73,134656.26,1.84,81.69,0.11
3027,0.33,1264141,San Francisco,Mixed-use,3.18,0.36,11.46,0.49,99201.85,4.65,54.91,0.9
2168,0.55,859383,New York,Industrial,2.74,0.33,10.83,0.31,103129.64,0.14,73.02,0.04
4600,0.78,392229,London,Residential,5.51,0.05,8.12,0.7,135708.25,4.82,86.58,0.86
3338,0.67,638516,London,Mixed-use,9.69,0.48,7.04,0.85,128929.04,0.56,83.6,0.36
4098,0.72,815036,Toronto,Commercial,5.61,0.34,6.89,0.68,88059.99,9.78,71.55,0.64
4513,0.58,647760,London,Mixed-use,11.0,0.36,10.32,0.32,159434.27,7.91,65.98,0.92
1666,0.69,915869,San Francisco,Industrial,10.0,0.02,8.43,0.6,101037.56,4.9,55.08,0.15
4980,0.46,1046920,New York,Residential,7.71,0.65,13.04,0.56,116685.16,0.87,66.61,0.57
3044,0.58,926143,San Francisco,Industrial,7.85,0.22,13.37,0.66,163669.68,5.92,50.35,0.76
4707,0.8,1266464,Sydney,Mixed-use,7.71,0.06,4.22,0.47,68505.46,7.59,64.85,0.76
3973,0.9,157175,Toronto,Mixed-use,7.4,0.63,3.77,0.55,77343.48,1.91,42.91,0.53
4569,0.55,668595,London,Commercial,6.08,0.16,10.2,0.39,131048.34,5.68,50.22,0.62
3146,0.23,1437453,Sydney,Residential,6.37,0.55,5.92,0.63,58036.58,8.14,82.79,0.76
1353,0.33,994634,London,Residential,4.33,0.37,2.24,0.39,68912.66,7.68,81.12,0.84
2682,0.22,175028,New York,Mixed-use,1.47,0.35,13.55,0.67,149378.95,8.03,65.67,0.76
3374,0.72,1270888,New York,Residential,9.76,0.21,4.95,0.49,109778.17,8.79,70.97,0.35
3496,0.47,571450,New York,Commercial,7.39,0.44,14.08,0.13,174902.24,9.38,72.98,1.0
4785,0.63,1221069,London,Industrial,7.02,0.19,11.33,0.72,94130.76,4.06,76.9,0.43
1375,0.59,205149,Sydney,Residential,8.0,0.11,11.91,0.67,112037.96,5.69,75.3,0.02
2225,0.27,833704,New York,Mixed-use,4.93,0.23,4.62,0.8,133515.77,7.91,49.95,0.36
3669,0.52,1331011,Sydney,Industrial,4.5,0.43,5.04,0.29,131788.21,6.97,33.35,0.13
1017,0.38,243834,London,Industrial,6.29,0.29,8.78,0.5,113627.51,9.96,54.75,0.12
714,0.53,350403,Sydney,Commercial,10.42,0.22,4.24,0.62,103788.5,0.14,67.69,0.28
1216,0.36,1309787,London,Mixed-use,4.08,0.25,5.97,0.69,125784.06,3.55,84.4,0.05
4574,0.87,995207,London,Residential,0.43,0.57,6.18,0.38,154422.15,2.81,73.52,0.69
3867,0.34,1405569,Toronto,Mixed-use,5.7,0.15,4.08,0.66,139070.22,2.62,78.02,0.07
1425,0.97,1472488,London,Industrial,9.86,0.37,4.67,0.51,104188.29,2.23,56.55,0.2
2116,0.53,1496828,London,Mixed-use,2.67,0.57,12.25,0.32,95205.68,7.09,68.94,0.09
3746,0.88,397013,San Francisco,Residential,4.05,0.43,4.17,0.49,102680.28,0.85,70.98,0.06
1012,0.7,993320,New York,Residential,7.66,0.04,2.37,0.68,88156.43,7.42,58.66,0.27
1328,0.79,1191671,Toronto,Commercial,13.42,0.11,10.18,0.33,123685.24,6.93,53.96,0.57
3948,0.81,1246462,Toronto,Residential,3.6,0.34,14.69,0.7,140344.65,2.51,66.6,0.96
3408,0.6,937342,Toronto,Residential,3.51,0.33,6.31,0.64,118216.5,2.53,79.92,0.88
1275,0.63,365711,San Francisco,Mixed-use,7.85,0.11,3.54,0.56,162994.17,6.29,56.43,0.88
4065,0.61,1163868,London,Mixed-use,10.01,0.11,9.42,0.35,164385.36,7.62,66.88,0.18
3104,0.67,1203389,New York,Industrial,5.44,0.6,13.78,0.37,127693.38,8.76,90.32,0.26
3567,0.22,701424,Sydney,Commercial,2.95,0.68,12.19,0.54,137548.44,8.52,62.21,0.08
3386,0.52,655919,London,Mixed-use,8.08,0.38,10.09,0.43,97488.55,9.65,70.11,0.78
1722,0.68,89885,San Francisco,Residential,8.54,0.24,6.1,0.55,110979.84,5.81,68.41,0.07
4679,0.68,1313954,London,Industrial,11.45,0.49,9.04,0.74,151806.76,9.09,67.18,0.56
2171,0.83,932746,London,Mixed-use,8.64,0.32,3.19,0.56,105518.18,8.09,95.03,0.25
2743,0.72,1455807,San Francisco,Commercial,9.07,0.23,10.83,0.55,157184.5,8.95,74.59,0.24
2287,0.99,502381,Toronto,Commercial,6.34,0.36,11.43,0.56,147814.1,0.12,46.45,0.99
4732,0.43,1056433,Toronto,Industrial,13.1,0.2,14.55,0.75,138790.6,9.66,92.93,0.76
4451,0.49,540244,New York,Industrial,6.0,0.17,5.39,0.79,90682.63,4.74,74.12,0.84
4040,0.51,654100,New York,Industrial,5.47,0.27,2.24,0.66,112200.34,7.98,64.4,0.57
4366,0.57,785860,Toronto,Industrial,11.52,0.29,9.09,0.62,136105.22,1.27,90.24,0.87
2926,0.87,1449363,Sydney,Industrial,3.31,0.06,11.19,0.63,95356.3,3.96,58.32,0.65
3514,0.39,124900,London,Residential,2.38,0.39,12.28,0.81,115248.07,2.71,95.74,0.95
4552,0.82,481067,Sydney,Residential,7.3,0.14,4.52,0.67,138803.27,2.92,71.4,0.28
1195,0.52,882720,London,Mixed-use,7.0,0.27,5.4,0.83,105795.69,1.23,85.08,0.6
1328,0.68,1201268,Toronto,Commercial,6.43,0.39,8.66,0.54,98838.64,8.06,116.01,0.69
1965,0.71,540796,New York,Residential,9.48,0.6,6.3,0.4,74980.64,0.09,72.7,0.39
1298,0.5,1174979,New York,Residential,4.73,0.11,13.19,0.5,110334.15,3.13,68.55,0.88
995,0.61,875600,Sydney,Residential,7.16,0.22,8.16,0.52,139329.54,1.74,53.99,0.98
4771,0.53,1084001,New York,Mixed-use,6.1,0.24,12.39,0.84,98177.41,5.89,68.19,0.49
4960,0.26,392023,Toronto,Industrial,4.77,0.37,9.55,0.71,120446.8,2.54,54.46,0.39
3102,0.55,1188447,Sydney,Mixed-use,6.85,0.45,12.05,0.5,114394.77,2.59,67.2,0.47
2419,0.28,1109127,London,Commercial,9.13,0.34,6.32,0.72,103334.41,4.88,113.42,0.85
1317,0.52,571862,New York,Commercial,12.3,0.37,12.81,0.58,140942.64,6.53,71.79,0.65
3382,0.67,1160750,San Francisco,Commercial,8.45,0.01,5.57,0.85,161056.81,1.21,61.69,0.04
4177,0.66,835111,New York,Commercial,0.72,0.11,9.1,0.55,145108.45,1.76,66.85,0.54
743,0.73,303563,London,Residential,6.9,0.2,4.78,0.37,102601.59,2.47,63.82,0.02
3740,0.28,217653,Sydney,Residential,7.12,0.24,8.18,0.57,169809.14,9.74,85.73,0.78
3538,0.72,190155,London,Mixed-use,9.34,0.14,6.14,0.55,145035.07,3.97,68.65,0.33
4236,0.45,413997,San Francisco,Industrial,7.46,0.11,5.47,0.4,108566.07,5.99,94.13,0.47
3822,0.52,1440398,Toronto,Commercial,10.13,0.29,14.57,0.69,100616.84,2.42,65.26,0.8
1767,0.89,1256371,New York,Mixed-use,7.98,0.21,4.08,0.81,148025.98,4.9,66.23,0.05
3216,0.21,168668,Sydney,Residential,10.9,0.24,12.24,0.43,124344.23,0.74,56.55,0.16
1662,0.67,817685,Toronto,Residential,5.9,0.03,14.79,0.75,98730.88,0.35,64.25,0.4
2756,0.68,749927,London,Industrial,7.36,0.25,2.26,0.51,116297.28,4.69,44.0,0.23
3582,0.52,1059448,Sydney,Industrial,9.07,0.05,11.09,0.6,109820.08,3.99,38.05,0.34
3894,0.39,633091,Toronto,Industrial,5.57,0.23,5.29,0.58,99398.52,1.37,79.37,1.0
1756,0.39,753590,Sydney,Mixed-use,5.02,0.2,2.53,0.6,145364.66,6.88,43.82,0.83
1332,0.91,753222,San Francisco,Residential,5.43,0.17,7.24,0.67,139543.1,9.93,76.09,0.88
4930,0.55,1028763,San Francisco,Residential,5.13,0.08,14.16,0.45,140963.54,3.96,62.49,0.94
1553,0.46,1358723,New York,Industrial,8.31,0.53,2.15,0.79,140616.76,6.25,84.09,0.34
3139,0.56,1084949,New York,Commercial,2.41,0.25,9.64,0.68,97099.16,9.63,44.15,0.3
3924,0.74,635083,San Francisco,Industrial,3.11,0.16,8.52,0.73,104907.82,8.32,78.97,0.23
3901,0.32,350914,Sydney,Mixed-use,11.66,0.28,13.35,0.48,156466.44,4.64,74.97,0.83
2142,0.56,442455,San Francisco,Industrial,5.19,0.08,3.09,0.43,122700.3,7.37,75.44,0.68
1791,0.67,359713,New York,Industrial,7.5,0.29,10.86,0.78,83238.23,1.28,86.86,0.24
3593,0.96,1114586,San Francisco,Mixed-use,3.28,0.1,10.84,0.43,125423.61,5.12,71.05,0.38
3281,0.4,1432790,San Francisco,Industrial,7.24,0.03,10.7,0.62,136369.78,2.79,33.28,0.51
1817,0.49,1083429,Sydney,Residential,5.2,0.08,14.25,0.75,133101.04,1.61,76.74,0.53
2140,0.5,644485,Toronto,Commercial,3.09,0.49,12.7,0.58,96553.26,4.26,74.8,0.89
3836,0.68,237584,New York,Industrial,10.34,0.04,2.55,0.78,167168.04,1.31,66.33,0.38
2986,0.49,1004220,Sydney,Mixed-use,9.96,0.08,8.12,0.56,82485.14,6.99,57.37,0.91
4319,0.63,1477515,San Francisco,Commercial,6.73,0.03,7.17,0.41,122772.41,4.56,64.59,0.44
1988,0.83,371077,San Francisco,Mixed-use,9.5,0.23,6.03,0.66,163413.82,5.31,91.87,0.75
2456,0.76,1104729,Toronto,Commercial,11.76,0.07,7.87,0.63,134791.43,1.46,56.2,0.93
1965,0.56,739738,New York,Commercial,8.89,0.03,6.99,1.0,140905.49,1.4,43.89,0.91
1099,0.89,454226,New York,Industrial,8.2,0.56,7.62,0.46,93670.9,5.83,47.98,0.06
2280,0.65,1239608,London,Residential,7.5,0.61,14.73,0.56,128676.16,9.85,69.47,0.21
1110,0.63,1335516,New York,Industrial,8.62,0.41,3.15,0.49,119084.93,0.96,95.06,0.48
4912,0.23,1433324,Toronto,Mixed-use,6.09,0.2,13.99,0.58,91748.9,2.86,103.07,0.43
1924,0.99,541552,London,Mixed-use,6.31,0.09,8.24,0.57,141626.79,8.69,79.75,0.64
1755,0.3,1355303,London,Commercial,8.13,0.26,10.11,0.47,99512.83,0.72,55.28,0.94
2427,0.38,153869,San Francisco,Commercial,5.82,0.17,12.79,0.67,102476.88,8.76,56.87,0.11
3741,0.24,949807,San Francisco,Residential,6.09,0.08,6.69,0.57,130814.48,5.24,83.14,0.45
4086,0.71,798675,New York,Industrial,7.0,0.14,7.6,0.8,116418.86,4.08,89.97,0.19
2410,0.38,282416,London,Mixed-use,9.88,0.36,7.32,0.5,124232.2,3.1,60.37,0.89
3523,0.34,658533,San Francisco,Commercial,4.17,0.33,6.87,0.88,114887.51,2.97,91.37,0.96
2814,0.27,647344,Toronto,Residential,8.9,0.47,14.03,0.64,155326.52,3.06,66.56,0.48
4786,0.28,855024,San Francisco,Mixed-use,8.98,0.65,12.78,0.79,96874.23,8.85,80.71,0.1
1313,0.67,1449277,San Francisco,Commercial,8.96,0.05,3.42,0.62,108379.78,7.24,87.18,0.79
4202,0.75,1408263,London,Mixed-use,4.98,0.25,3.41,0.48,132029.29,6.7,47.77,0.7
4734,0.52,510634,London,Residential,2.77,0.22,7.56,0.56,95302.05,7.99,76.77,0.35
4122,0.58,829971,Sydney,Residential,8.4,0.5,3.28,0.39,94194.42,2.57,91.43,0.89
4868,0.75,576507,Toronto,Mixed-use,7.47,0.04,10.05,0.58,123443.6,6.18,61.59,0.98
1843,0.21,1111008,London,Industrial,9.51,0.16,3.87,0.63,141683.83,4.6,54.15,0.56
4309,0.46,345972,New York,Mixed-use,5.25,0.11,8.79,0.61,144946.95,7.82,77.42,0.57
1681,0.98,1245232,Toronto,Commercial,8.9,0.4,2.09,0.8,122293.5,3.09,72.0,0.3
1055,0.66,1145663,Toronto,Industrial,9.64,0.59,6.12,0.58,103196.68,6.43,65.09,0.58
1494,0.4,1422057,London,Commercial,6.76,0.09,10.8,0.32,126891.58,8.82,69.97,0.44
1984,0.62,216554,Toronto,Mixed-use,8.04,0.22,8.29,1.13,134153.46,4.02,44.95,0.3
2558,0.47,565757,London,Industrial,7.95,0.42,14.72,0.5,126546.52,0.67,76.07,0.07
3672,0.63,262024,San Francisco,Commercial,4.95,0.05,13.36,0.75,150854.25,5.16,93.89,0.25
2596,0.3,1265111,Sydney,Mixed-use,8.33,0.54,6.67,0.37,94645.97,3.46,59.28,0.2
4885,0.31,847524,San Francisco,Mixed-use,11.06,0.08,2.59,0.64,102575.6,6.72,57.57,0.54
1104,0.31,375767,London,Industrial,7.06,0.11,12.99,0.48,147383.73,9.51,72.59,0.6
1814,0.95,115634,London,Mixed-use,3.35,0.4,13.85,0.18,83174.5,4.86,112.69,0.61
2131,0.79,456742,San Francisco,Residential,5.28,0.48,12.67,0.56,106515.36,4.66,86.5,0.39
4040,0.33,391478,New York,Commercial,2.55,0.48,3.66,0.59,101711.49,6.55,68.59,0.42
1423,0.35,935080,New York,Commercial,10.23,0.01,14.97,0.57,80894.88,1.03,70.59,0.83
1528,0.78,626495,New York,Mixed-use,8.91,0.05,5.36,0.64,115321.28,2.54,87.98,0.48
733,0.32,553866,London,Mixed-use,5.75,0.24,11.41,0.56,138657.35,9.19,56.36,0.99
2705,0.39,685842,Toronto,Residential,3.45,0.55,13.8,0.61,123908.2,6.7,79.18,0.44
4227,0.97,687564,London,Industrial,4.92,0.14,5.06,0.63,139990.09,0.13,53.24,0.65
2452,0.4,1057022,Toronto,Mixed-use,5.4,0.32,13.81,0.59,149798.9,2.05,83.87,0.05
4775,0.73,1443501,San Francisco,Mixed-use,7.27,0.08,6.02,0.57,110359.21,6.83,65.59,0.65
3533,0.98,788140,Sydney,Mixed-use,7.19,0.06,14.69,0.47,186171.15,7.64,73.01,0.85
3884,0.5,272512,Toronto,Mixed-use,10.35,0.1,5.66,0.69,111364.61,8.4,64.62,0.94
4898,0.21,1041703,New York,Commercial,5.27,0.06,14.39,0.56,114686.72,2.92,80.48,1.0
3411,0.4,271420,London,Mixed-use,3.23,0.2,2.7,0.55,102309.49,9.31,67.38,0.28
1850,0.86,790644,San Francisco,Commercial,4.11,0.57,11.22,0.68,133634.74,5.53,102.37,0.58
4112,0.89,1331772,New York,Mixed-use,6.94,0.15,8.92,0.63,112737.41,6.97,91.28,0.45
1856,0.81,1328495,San Francisco,Industrial,5.18,0.38,8.21,0.5,118027.69,5.97,50.44,0.56
3976,0.29,337324,Sydney,Residential,6.27,0.05,4.91,0.79,114869.67,1.23,72.87,0.16
4086,0.84,799449,London,Industrial,5.86,0.13,11.17,0.42,114302.39,9.63,81.03,0.86
4184,0.93,947780,London,Mixed-use,9.48,0.1,4.48,0.45,123957.15,1.23,63.13,0.91
1996,0.68,510599,Sydney,Mixed-use,5.53,0.23,9.19,0.7,108744.41,2.55,88.19,0.45
4237,0.95,455960,London,Mixed-use,6.06,0.19,5.29,0.86,109917.61,8.14,86.42,0.28
3930,0.86,814042,Toronto,Industrial,8.79,0.38,14.42,0.51,146821.29,6.19,68.75,0.14
3303,0.73,727341,San Francisco,Mixed-use,5.59,0.54,2.37,0.66,112661.94,8.38,84.72,0.68
1070,0.66,1312541,New York,Industrial,8.06,0.19,4.6,0.42,129588.81,5.16,33.84,0.31
1953,0.48,1295468,Sydney,Commercial,7.83,0.07,5.15,0.46,97762.71,3.77,90.36,0.91
3383,0.33,214832,Toronto,Residential,7.35,0.44,7.38,0.77,108882.75,9.22,83.3,0.67
3431,0.68,1281838,New York,Residential,4.16,0.12,5.03,0.65,89185.99,0.36,53.68,0.65
957,0.45,147411,New York,Industrial,10.07,0.47,8.39,0.77,166360.84,8.56,73.78,0.56
3619,0.89,365521,Sydney,Commercial,12.55,0.29,13.34,0.76,154386.49,2.31,39.61,0.05
1267,0.99,1067073,Toronto,Industrial,7.02,0.12,11.26,0.29,134886.47,8.49,58.55,0.93
1745,0.8,1166787,New York,Commercial,4.38,0.55,9.54,0.42,173777.57,1.39,86.43,0.63
4785,0.27,293981,New York,Mixed-use,7.07,0.62,3.16,0.64,139257.15,5.8,69.81,0.99
4319,0.43,345888,Toronto,Commercial,9.47,0.12,11.02,0.35,115700.61,8.88,68.98,0.54
